Frequency (Hz)	Level (dB)
283.203125	-87.073669
284.179688	-87.495354
285.156250	-87.471245
286.132812	-87.091736
287.109375	-87.247147
288.085938	-87.078926
289.062500	-87.279305
290.039062	-87.344185
291.015625	-87.513420
291.992188	-87.032227
292.968750	-86.895859
293.945312	-87.215950
294.921875	-87.539284
295.898438	-88.048935
296.875000	-88.575615
297.851562	-88.238289
298.828125	-87.801872
299.804688	-86.950760
300.781250	-87.950363
301.757812	-87.836929
302.734375	-87.326996
303.710938	-88.564255
304.687500	-88.447060
305.664062	-87.400124
306.640625	-86.996155
307.617188	-88.217812
308.593750	-88.376221
309.570312	-86.720650
310.546875	-87.991768
311.523438	-88.358856
312.500000	-87.506439
313.476562	-87.105515
314.453125	-87.451500
315.429688	-87.785385
316.406250	-87.585701
317.382812	-87.689651
318.359375	-88.050247
319.335938	-87.945000
320.312500	-88.344528
321.289062	-88.578072
322.265625	-88.336502
323.242188	-87.681847
324.218750	-87.509979
325.195312	-87.884811
326.171875	-89.119904
327.148438	-89.265892
328.125000	-89.396294
329.101562	-87.506401
330.078125	-87.731842
331.054688	-87.851578
332.031250	-87.637856
333.007812	-87.183723
333.984375	-87.451103
334.960938	-87.466599
335.937500	-87.694733
336.914062	-88.169312
337.890625	-87.810410
338.867188	-87.833214
339.843750	-88.153954
340.820312	-87.566704
341.796875	-88.200531
342.773438	-87.411987
343.750000	-86.801086
344.726562	-87.696495
345.703125	-88.322899
346.679688	-88.265068
347.656250	-87.852715
348.632812	-88.267395
349.609375	-88.804665
350.585938	-88.050957
351.562500	-86.803505
352.539062	-87.214043
353.515625	-87.599846
354.492188	-86.864227
355.468750	-87.306618
356.445312	-87.663017
357.421875	-88.165359
358.398438	-89.042618
359.375000	-87.939636
360.351562	-87.656738
361.328125	-88.698982
362.304688	-87.884384
363.281250	-87.268295
364.257812	-87.422211
365.234375	-88.007843
366.210938	-89.212204
367.187500	-88.343742
368.164062	-87.514732
369.140625	-87.320633
370.117188	-88.299706
371.093750	-87.964516
372.070312	-88.362968
373.046875	-87.151535
374.023438	-87.181381
375.000000	-88.022675
375.976562	-88.195595
376.953125	-87.515030
377.929688	-87.889641
378.906250	-87.819519
379.882812	-87.495056
380.859375	-87.836281
381.835938	-87.664619
382.812500	-87.605576
383.789062	-87.530357
384.765625	-87.658195
385.742188	-88.119438
386.718750	-88.127907
387.695312	-88.659325
388.671875	-87.873871
389.648438	-86.763618
390.625000	-86.710968
391.601562	-88.396416
392.578125	-88.848282
393.554688	-88.595818
394.531250	-88.606232
395.507812	-88.398643
396.484375	-87.652466
397.460938	-87.427849
398.437500	-87.890915
399.414062	-87.473106
400.390625	-87.985863
401.367188	-87.978493
402.343750	-87.482086
403.320312	-87.059021
404.296875	-87.335770
405.273438	-88.536987
406.250000	-88.145882
407.226562	-87.935158
408.203125	-88.411232
409.179688	-88.329544
410.156250	-88.509972
411.132812	-87.872093
412.109375	-88.086761
413.085938	-87.781418
414.062500	-88.983604
415.039062	-88.374840
416.015625	-87.864075
416.992188	-87.954147
417.968750	-88.208847
418.945312	-87.994736
419.921875	-88.293816
420.898438	-87.999420
421.875000	-87.567413
422.851562	-87.209969
423.828125	-87.169075
424.804688	-87.067223
425.781250	-87.448540
426.757812	-87.812416
427.734375	-87.745384
428.710938	-87.448891
429.687500	-87.984367
430.664062	-87.632881
431.640625	-86.568115
432.617188	-87.429955
433.593750	-87.995987
434.570312	-88.209831
435.546875	-87.872284
436.523438	-87.556450
437.500000	-86.099174
438.476562	-86.994659
439.453125	-88.028679
440.429688	-87.534149
441.406250	-86.837563
442.382812	-86.695160
443.359375	-87.150749
444.335938	-87.242729
