Frequency (Hz)	Level (dB)
141.601562	-76.962608
142.089844	-77.205215
142.578125	-76.652023
143.066406	-75.496101
143.554688	-76.434814
144.042969	-76.000565
144.531250	-76.298927
145.019531	-77.309685
145.507812	-76.326271
145.996094	-75.139763
146.484375	-75.314651
146.972656	-75.481384
147.460938	-75.916016
147.949219	-77.006989
148.437500	-75.606766
148.925781	-75.566757
149.414062	-77.021835
149.902344	-77.188232
150.390625	-77.358818
150.878906	-77.306839
151.367188	-77.020393
151.855469	-76.436081
152.343750	-78.521751
152.832031	-77.146729
153.320312	-76.034912
153.808594	-76.285858
154.296875	-75.646118
154.785156	-76.557793
155.273438	-76.111946
155.761719	-75.512146
156.250000	-76.064789
156.738281	-75.048172
157.226562	-74.669266
157.714844	-75.060295
158.203125	-75.234924
158.691406	-75.344521
159.179688	-75.168640
159.667969	-76.003845
160.156250	-76.557594
160.644531	-76.622261
161.132812	-76.070427
161.621094	-74.916885
162.109375	-74.477020
162.597656	-74.959198
163.085938	-75.594009
163.574219	-76.252464
164.062500	-75.995956
164.550781	-76.012764
165.039062	-75.235725
165.527344	-75.069832
166.015625	-75.958351
166.503906	-77.613701
166.992188	-76.217056
167.480469	-75.914391
167.968750	-76.884995
168.457031	-76.518707
168.945312	-76.434097
169.433594	-77.578972
169.921875	-77.647278
170.410156	-76.932648
170.898438	-75.164581
171.386719	-76.076660
171.875000	-76.659607
172.363281	-77.497437
172.851562	-77.626465
173.339844	-76.163971
173.828125	-76.590660
174.316406	-77.340851
174.804688	-77.198082
175.292969	-76.500458
175.781250	-76.329300
176.269531	-75.002487
176.757812	-76.469948
177.246094	-78.503685
177.734375	-77.408463
178.222656	-76.366486
178.710938	-77.108238
179.199219	-77.283997
179.687500	-77.091293
180.175781	-76.573196
180.664062	-76.667938
181.152344	-76.514671
181.640625	-76.900940
182.128906	-76.554878
182.617188	-77.396172
183.105469	-78.174332
183.593750	-77.091415
184.082031	-77.228516
184.570312	-77.377975
185.058594	-76.695801
185.546875	-77.111221
186.035156	-77.614067
186.523438	-77.032150
187.011719	-76.138611
187.500000	-76.075378
187.988281	-77.038078
188.476562	-77.395645
188.964844	-77.845184
189.453125	-76.793640
189.941406	-77.426285
190.429688	-77.702202
190.917969	-77.833900
191.406250	-77.786102
191.894531	-77.017937
192.382812	-77.162117
192.871094	-76.977135
193.359375	-77.978355
193.847656	-76.904045
194.335938	-77.356155
194.824219	-78.599564
195.312500	-77.673981
195.800781	-76.050545
196.289062	-75.813835
196.777344	-76.238655
197.265625	-76.986717
197.753906	-77.312462
198.242188	-77.339806
198.730469	-76.455612
199.218750	-76.238617
199.707031	-77.332870
200.195312	-78.043961
200.683594	-78.796021
201.171875	-77.365715
201.660156	-77.136757
202.148438	-77.520012
202.636719	-76.366905
203.125000	-76.050026
203.613281	-76.796486
204.101562	-77.032028
