Frequency (Hz)	Level (dB)
283.203125	-66.910225
284.179688	-66.855995
285.156250	-66.173721
286.132812	-65.918068
287.109375	-65.757324
288.085938	-65.601646
289.062500	-65.228737
290.039062	-64.685883
291.015625	-64.872955
291.992188	-64.838615
292.968750	-64.633774
293.945312	-64.819740
294.921875	-65.314713
295.898438	-65.316963
296.875000	-66.261963
297.851562	-66.637703
298.828125	-66.568634
299.804688	-66.512093
300.781250	-67.642235
301.757812	-66.713676
302.734375	-66.694221
303.710938	-67.818069
304.687500	-68.693039
305.664062	-68.228073
306.640625	-67.399216
307.617188	-69.086121
308.593750	-69.266052
309.570312	-67.688271
310.546875	-68.999397
311.523438	-70.759407
312.500000	-70.045700
313.476562	-69.391075
314.453125	-69.480240
315.429688	-70.009651
316.406250	-69.782280
317.382812	-70.541016
318.359375	-71.195229
319.335938	-71.291290
320.312500	-71.951729
321.289062	-72.417709
322.265625	-72.831360
323.242188	-72.547691
324.218750	-72.125015
325.195312	-72.583885
326.171875	-73.268875
327.148438	-73.761269
328.125000	-74.296165
329.101562	-72.465065
330.078125	-73.100967
331.054688	-73.147736
332.031250	-73.541183
333.007812	-73.558052
333.984375	-73.924194
334.960938	-74.227966
335.937500	-74.423477
336.914062	-74.812149
337.890625	-74.497452
338.867188	-74.863754
339.843750	-75.548927
340.820312	-75.016747
341.796875	-75.521736
342.773438	-74.969200
343.750000	-74.999016
344.726562	-75.558281
345.703125	-75.940880
346.679688	-75.886543
347.656250	-75.750702
348.632812	-76.353912
349.609375	-77.073891
350.585938	-77.021736
351.562500	-75.338570
352.539062	-75.987183
353.515625	-75.790428
354.492188	-75.534233
355.468750	-76.404457
356.445312	-76.832970
357.421875	-77.309746
358.398438	-78.505783
359.375000	-76.957855
360.351562	-76.748863
361.328125	-77.885681
362.304688	-77.413300
363.281250	-77.289879
364.257812	-77.613190
365.234375	-78.633606
366.210938	-78.914658
367.187500	-78.157211
368.164062	-78.365974
369.140625	-78.034668
370.117188	-78.429924
371.093750	-78.520554
372.070312	-78.756172
373.046875	-77.916130
374.023438	-77.940254
375.000000	-78.213020
375.976562	-78.766579
376.953125	-78.404297
377.929688	-78.653091
378.906250	-78.946526
379.882812	-78.323837
380.859375	-78.695244
381.835938	-78.677368
382.812500	-78.664322
383.789062	-78.883461
384.765625	-78.724464
385.742188	-78.981255
386.718750	-79.336426
387.695312	-80.109467
388.671875	-79.266083
389.648438	-78.215179
390.625000	-78.455704
391.601562	-80.035416
392.578125	-80.841835
393.554688	-80.107773
394.531250	-80.222733
395.507812	-79.445694
396.484375	-79.028831
397.460938	-79.375496
398.437500	-79.941277
399.414062	-79.372810
400.390625	-79.709274
401.367188	-79.829964
402.343750	-79.418076
403.320312	-78.748772
404.296875	-79.008095
405.273438	-80.574860
406.250000	-80.510948
407.226562	-79.804321
408.203125	-80.323067
409.179688	-80.230911
410.156250	-80.664101
411.132812	-80.198990
412.109375	-79.718994
413.085938	-79.753113
414.062500	-81.111832
415.039062	-80.588684
416.015625	-79.460754
416.992188	-79.753906
417.968750	-80.836670
418.945312	-80.470741
419.921875	-80.697029
420.898438	-80.281303
421.875000	-80.036133
422.851562	-80.264854
423.828125	-79.959412
424.804688	-79.503471
425.781250	-79.638939
426.757812	-79.999931
427.734375	-80.489868
428.710938	-80.402695
429.687500	-80.202744
430.664062	-79.804085
431.640625	-78.823433
432.617188	-80.048111
433.593750	-80.668861
434.570312	-80.319359
435.546875	-79.800926
436.523438	-79.793846
437.500000	-78.889160
438.476562	-79.446114
439.453125	-80.457710
440.429688	-80.633324
441.406250	-79.939880
442.382812	-79.705437
443.359375	-80.259102
444.335938	-79.526588
445.312500	-80.202522
446.289062	-80.338264
447.265625	-79.037430
448.242188	-79.834488
449.218750	-79.082115
450.195312	-80.048149
451.171875	-79.735008
452.148438	-79.933319
453.125000	-81.125404
454.101562	-80.051620
455.078125	-79.635963
456.054688	-79.507668
457.031250	-79.602287
458.007812	-80.254959
458.984375	-79.865173
459.960938	-79.340805
460.937500	-79.089592
461.914062	-79.319000
462.890625	-79.176651
463.867188	-79.356560
464.843750	-79.509300
465.820312	-79.328110
466.796875	-78.631866
467.773438	-78.567680
468.750000	-79.285316
469.726562	-78.577721
470.703125	-78.730713
471.679688	-79.432808
472.656250	-78.964539
473.632812	-79.511810
474.609375	-79.427567
475.585938	-79.586617
476.562500	-79.079010
477.539062	-79.183380
478.515625	-79.146759
479.492188	-79.677757
480.468750	-79.091385
481.445312	-78.973305
482.421875	-79.219704
483.398438	-78.659691
484.375000	-78.984978
485.351562	-79.045387
486.328125	-78.641281
487.304688	-78.597580
488.281250	-79.332016
489.257812	-77.315567
490.234375	-77.389969
491.210938	-78.841263
492.187500	-78.996033
493.164062	-77.302490
494.140625	-77.376495
495.117188	-77.962257
496.093750	-78.049538
497.070312	-78.674469
498.046875	-78.176895
499.023438	-78.364510
500.000000	-79.282318
500.976562	-77.559120
501.953125	-76.758316
502.929688	-77.640068
503.906250	-77.523117
504.882812	-77.889641
505.859375	-77.715630
506.835938	-76.431732
507.812500	-76.441078
508.789062	-77.477287
509.765625	-77.292603
510.742188	-76.515320
511.718750	-76.524475
512.695312	-76.709686
513.671875	-76.912437
514.648438	-76.537437
515.625000	-75.909798
516.601562	-75.957764
517.578125	-76.761826
518.554688	-76.287300
519.531250	-76.159042
520.507812	-76.077225
521.484375	-75.826904
522.460938	-76.118172
523.437500	-76.289680
524.414062	-75.774216
525.390625	-76.170853
526.367188	-76.300568
527.343750	-75.909187
528.320312	-75.425407
529.296875	-75.028961
530.273438	-75.198891
531.250000	-74.776115
532.226562	-74.075066
533.203125	-73.493317
534.179688	-73.935432
535.156250	-74.055824
536.132812	-73.519188
537.109375	-73.678764
538.085938	-73.805595
539.062500	-73.354439
540.039062	-73.261871
541.015625	-73.216515
541.992188	-72.035103
542.968750	-72.075905
543.945312	-72.459564
544.921875	-72.239349
545.898438	-72.823509
546.875000	-72.749840
547.851562	-71.300148
548.828125	-71.497444
549.804688	-71.567734
550.781250	-71.775017
551.757812	-71.408073
552.734375	-70.345688
553.710938	-69.974190
554.687500	-69.334816
555.664062	-69.702797
556.640625	-69.893738
557.617188	-69.678963
558.593750	-68.701805
559.570312	-68.999001
560.546875	-69.620964
561.523438	-69.248001
562.500000	-68.258034
563.476562	-67.310608
564.453125	-67.048119
565.429688	-67.829964
566.406250	-68.086540
567.382812	-67.406845
568.359375	-66.732742
569.335938	-66.600655
570.312500	-65.981644
571.289062	-65.984772
572.265625	-65.670074
573.242188	-65.232407
574.218750	-66.770035
575.195312	-65.590912
576.171875	-64.609375
577.148438	-64.496964
578.125000	-64.361328
579.101562	-64.778259
580.078125	-64.504005
581.054688	-64.172546
582.031250	-64.035461
583.007812	-63.614532
583.984375	-64.122917
584.960938	-64.676048
585.937500	-63.968262
586.914062	-63.629967
587.890625	-63.815590
588.867188	-64.240288
589.843750	-64.303513
590.820312	-64.528740
591.796875	-65.711418
592.773438	-64.782707
593.750000	-65.412880
594.726562	-66.518127
595.703125	-66.160912
596.679688	-65.606178
597.656250	-66.409172
598.632812	-66.540466
599.609375	-66.463829
600.585938	-67.431664
601.562500	-67.307800
602.539062	-68.264626
603.515625	-68.892151
604.492188	-68.622910
605.468750	-68.346672
606.445312	-68.541901
607.421875	-68.813560
608.398438	-70.041466
609.375000	-70.103539
610.351562	-69.522491
611.328125	-70.151611
612.304688	-70.261650
613.281250	-70.664902
614.257812	-70.991669
615.234375	-70.823204
616.210938	-70.957756
617.187500	-71.161659
618.164062	-71.512932
619.140625	-72.221626
620.117188	-71.762222
621.093750	-71.484825
622.070312	-72.034637
623.046875	-72.634438
624.023438	-72.489082
625.000000	-72.308670
625.976562	-72.132553
626.953125	-71.968399
627.929688	-72.645714
628.906250	-73.102509
629.882812	-73.838432
630.859375	-74.408653
631.835938	-74.458328
632.812500	-72.778954
633.789062	-73.219833
634.765625	-75.380432
635.742188	-74.223923
636.718750	-74.059280
637.695312	-73.830917
638.671875	-73.749985
639.648438	-74.114128
640.625000	-74.760361
641.601562	-75.037132
642.578125	-74.735641
643.554688	-74.623459
644.531250	-74.102058
645.507812	-73.883080
646.484375	-75.303040
647.460938	-75.232239
648.437500	-75.438248
649.414062	-75.425049
650.390625	-75.140442
651.367188	-75.279320
652.343750	-74.933189
653.320312	-75.137260
654.296875	-75.643097
655.273438	-75.646675
656.250000	-75.850983
657.226562	-76.328064
658.203125	-76.229050
659.179688	-76.227158
660.156250	-75.962105
661.132812	-77.235268
662.109375	-76.462524
663.085938	-75.860039
664.062500	-76.250031
665.039062	-75.942551
666.015625	-76.435249
666.992188	-76.999557
667.968750	-77.281929
668.945312	-77.073624
669.921875	-77.226349
670.898438	-77.405533
671.875000	-76.632263
672.851562	-76.382019
673.828125	-77.358696
674.804688	-77.795357
675.781250	-78.362335
676.757812	-78.242905
677.734375	-78.192711
678.710938	-77.704865
679.687500	-77.920990
