Frequency (Hz)	Level (dB)
283.203125	-61.409447
284.179688	-61.720413
285.156250	-60.923279
286.132812	-60.930004
287.109375	-61.011959
288.085938	-60.648388
289.062500	-60.518002
290.039062	-60.447571
291.015625	-60.827923
291.992188	-60.836746
292.968750	-60.728176
293.945312	-60.973469
294.921875	-61.732372
295.898438	-62.291149
296.875000	-62.939133
297.851562	-63.356915
298.828125	-63.626240
299.804688	-63.711788
300.781250	-64.710045
301.757812	-63.687233
302.734375	-63.655540
303.710938	-64.776077
304.687500	-65.536942
305.664062	-65.157494
306.640625	-64.488220
307.617188	-65.747498
308.593750	-66.158264
309.570312	-64.787376
310.546875	-66.009399
311.523438	-67.634682
312.500000	-66.722969
313.476562	-66.182709
314.453125	-66.703514
315.429688	-67.099350
316.406250	-66.878006
317.382812	-67.514420
318.359375	-67.932167
319.335938	-68.202805
320.312500	-68.926865
321.289062	-69.170158
322.265625	-69.555992
323.242188	-69.174759
324.218750	-68.779228
325.195312	-69.285957
326.171875	-70.059708
327.148438	-70.240158
328.125000	-70.596451
329.101562	-68.917778
330.078125	-69.575005
331.054688	-69.616264
332.031250	-69.955116
333.007812	-69.745674
333.984375	-69.986778
334.960938	-70.502922
335.937500	-70.768311
336.914062	-71.161942
337.890625	-70.835289
338.867188	-71.164421
339.843750	-71.993401
340.820312	-71.425980
341.796875	-72.036575
342.773438	-71.721916
343.750000	-71.495636
344.726562	-71.794930
345.703125	-72.318535
346.679688	-72.136398
347.656250	-71.916191
348.632812	-72.737854
349.609375	-73.379921
350.585938	-73.207687
351.562500	-71.475311
352.539062	-72.266701
353.515625	-72.128105
354.492188	-71.851768
355.468750	-72.495872
356.445312	-72.940659
357.421875	-73.377251
358.398438	-74.916565
359.375000	-73.289284
360.351562	-72.891350
361.328125	-74.034599
362.304688	-73.508026
363.281250	-73.386955
364.257812	-73.860725
365.234375	-74.971214
366.210938	-75.203575
367.187500	-74.121460
368.164062	-74.267601
369.140625	-73.988304
370.117188	-74.420555
371.093750	-74.197273
372.070312	-74.229942
373.046875	-73.638565
374.023438	-73.887901
375.000000	-74.330444
375.976562	-74.918373
376.953125	-74.882515
377.929688	-75.124611
378.906250	-74.757591
379.882812	-74.277435
380.859375	-74.767708
381.835938	-74.772896
382.812500	-74.606125
383.789062	-74.759590
384.765625	-74.580307
385.742188	-74.875565
386.718750	-75.159042
387.695312	-75.946815
388.671875	-75.102661
389.648438	-74.084190
390.625000	-74.280205
391.601562	-75.662567
392.578125	-76.718750
393.554688	-76.112862
394.531250	-76.134247
395.507812	-75.527222
396.484375	-75.128975
397.460938	-75.201561
398.437500	-75.716293
399.414062	-75.361656
400.390625	-75.566299
401.367188	-75.563217
402.343750	-75.090752
403.320312	-74.662666
404.296875	-75.122536
405.273438	-76.543793
406.250000	-76.390503
407.226562	-75.422691
408.203125	-75.854897
409.179688	-76.164101
410.156250	-76.437149
411.132812	-75.662865
412.109375	-75.379448
413.085938	-75.295517
414.062500	-76.561989
415.039062	-76.092133
416.015625	-75.188766
416.992188	-75.526054
417.968750	-76.426773
418.945312	-75.845459
419.921875	-76.130692
420.898438	-75.956131
421.875000	-75.559944
422.851562	-75.692307
423.828125	-75.432617
424.804688	-74.949699
425.781250	-75.169044
426.757812	-75.567108
427.734375	-76.080795
428.710938	-76.165352
429.687500	-75.874588
430.664062	-75.491066
431.640625	-74.244896
432.617188	-75.252968
433.593750	-76.032860
434.570312	-75.767754
435.546875	-75.200867
436.523438	-75.436005
437.500000	-74.255745
438.476562	-74.773262
439.453125	-75.839638
440.429688	-76.162422
441.406250	-75.446159
442.382812	-75.532318
443.359375	-75.986916
444.335938	-75.234688
445.312500	-75.788986
446.289062	-75.777733
447.265625	-74.652618
448.242188	-75.258774
449.218750	-74.427505
450.195312	-75.416130
451.171875	-75.276016
452.148438	-75.359314
453.125000	-76.549240
454.101562	-75.354080
455.078125	-74.776085
456.054688	-74.785065
457.031250	-74.974594
458.007812	-75.656631
458.984375	-75.194427
459.960938	-74.745392
460.937500	-74.184425
461.914062	-74.563019
462.890625	-74.541382
463.867188	-74.809692
464.843750	-74.867409
465.820312	-74.519836
466.796875	-73.864853
467.773438	-73.829147
468.750000	-74.422890
469.726562	-73.638931
470.703125	-74.029350
471.679688	-75.084663
472.656250	-74.321648
473.632812	-74.641273
474.609375	-74.505630
475.585938	-74.734718
476.562500	-74.200142
477.539062	-74.290398
478.515625	-74.333511
479.492188	-75.038353
480.468750	-74.433365
481.445312	-73.996773
482.421875	-74.337021
483.398438	-73.771156
484.375000	-73.909256
485.351562	-73.970314
486.328125	-73.653778
487.304688	-73.530037
488.281250	-74.419716
489.257812	-72.576912
490.234375	-72.499054
491.210938	-73.684357
492.187500	-73.890915
493.164062	-72.285851
494.140625	-72.230972
495.117188	-72.810570
496.093750	-72.988434
497.070312	-73.680237
498.046875	-73.261124
499.023438	-73.024460
500.000000	-73.809395
500.976562	-72.418739
501.953125	-71.532867
502.929688	-72.461464
503.906250	-72.390335
504.882812	-72.676514
505.859375	-72.544075
506.835938	-71.571136
507.812500	-71.378578
508.789062	-72.212051
509.765625	-71.976128
510.742188	-71.163918
511.718750	-71.162941
512.695312	-71.442940
513.671875	-71.747093
514.648438	-71.283066
515.625000	-70.476372
516.601562	-70.427155
517.578125	-71.124191
518.554688	-70.640320
519.531250	-70.405518
520.507812	-70.635727
521.484375	-70.402252
522.460938	-70.633743
523.437500	-70.640472
524.414062	-69.983368
525.390625	-70.606964
526.367188	-70.577179
527.343750	-70.142982
528.320312	-69.684433
529.296875	-69.208366
530.273438	-69.214539
531.250000	-68.768997
532.226562	-68.070534
533.203125	-67.415237
534.179688	-67.915001
535.156250	-68.192650
536.132812	-67.691772
537.109375	-67.700043
538.085938	-67.648285
539.062500	-67.381310
540.039062	-67.460350
541.015625	-67.573547
541.992188	-66.042320
542.968750	-65.769455
543.945312	-66.242294
544.921875	-65.996101
545.898438	-66.350754
546.875000	-66.318832
547.851562	-64.696892
548.828125	-64.876297
549.804688	-65.083725
550.781250	-65.114395
551.757812	-64.576881
552.734375	-63.558357
553.710938	-63.201778
554.687500	-62.542641
555.664062	-62.947456
556.640625	-62.978054
557.617188	-62.660545
558.593750	-61.811924
559.570312	-61.909142
560.546875	-62.549580
561.523438	-62.207226
562.500000	-61.250240
563.476562	-60.316570
564.453125	-60.021320
565.429688	-60.736671
566.406250	-61.075500
567.382812	-60.481712
568.359375	-59.892788
569.335938	-59.868034
570.312500	-59.349449
571.289062	-59.664783
572.265625	-59.468647
573.242188	-59.292694
574.218750	-60.962971
575.195312	-60.446476
576.171875	-59.621742
577.148438	-59.660362
578.125000	-59.823475
579.101562	-60.530365
580.078125	-60.700016
581.054688	-60.614792
582.031250	-60.801617
583.007812	-60.811680
583.984375	-61.495125
584.960938	-62.351814
585.937500	-61.828342
586.914062	-61.420391
587.890625	-61.823349
588.867188	-62.413086
589.843750	-62.469635
590.820312	-62.713242
591.796875	-63.870155
592.773438	-62.963692
593.750000	-63.549732
594.726562	-64.772537
595.703125	-64.420982
596.679688	-63.856274
597.656250	-64.650063
598.632812	-64.753746
599.609375	-64.746094
600.585938	-65.799561
601.562500	-65.415527
602.539062	-66.146622
603.515625	-66.731575
604.492188	-66.569618
605.468750	-66.230103
606.445312	-66.360466
607.421875	-66.511810
608.398438	-67.667709
609.375000	-67.711975
610.351562	-67.083344
611.328125	-67.610062
612.304688	-67.874367
613.281250	-68.474396
614.257812	-68.785934
615.234375	-68.387192
616.210938	-68.334724
617.187500	-68.469856
618.164062	-68.788696
619.140625	-69.549698
620.117188	-68.968559
621.093750	-68.660606
622.070312	-69.150497
623.046875	-69.754417
624.023438	-69.650345
625.000000	-69.290588
625.976562	-69.000824
626.953125	-68.871956
627.929688	-69.540062
628.906250	-70.037064
629.882812	-70.618927
630.859375	-71.019936
631.835938	-71.257011
632.812500	-69.565239
633.789062	-69.827286
634.765625	-71.923462
635.742188	-70.618134
636.718750	-70.531883
637.695312	-70.475067
638.671875	-70.331383
639.648438	-70.781509
640.625000	-71.370880
641.601562	-71.549271
642.578125	-71.217583
643.554688	-71.120453
644.531250	-70.625282
645.507812	-70.199196
646.484375	-71.710487
647.460938	-71.743416
648.437500	-71.945114
649.414062	-71.774124
650.390625	-71.446175
651.367188	-71.453583
652.343750	-71.100967
653.320312	-71.588783
654.296875	-72.179405
655.273438	-72.034470
656.250000	-72.225555
657.226562	-72.667007
658.203125	-72.488503
659.179688	-72.555077
660.156250	-72.478058
661.132812	-73.607948
662.109375	-72.863380
663.085938	-72.215736
664.062500	-72.408623
665.039062	-72.142754
666.015625	-72.600166
666.992188	-73.106499
667.968750	-73.545631
668.945312	-73.298393
669.921875	-73.442772
670.898438	-73.566643
